kd_PhlF,kd_YPF,kd_HlyIIR,kd_BetI,kd_AmtR,Pmin,Pmax,Window
0.001,0.00075,0.001,0.00075,0.0005,0.677421941929,0.677423450154,1.508226e-06
0.001,0.00075,0.001,0.00075,0.00075,0.67786706158,0.677869098288,2.036707e-06
0.001,0.00075,0.001,0.00075,0.001,0.678474470241,0.678477672093,3.201853e-06
0.001,0.00075,0.001,0.001,0.0005,0.671757485898,0.671758900856,1.414957e-06
0.001,0.00075,0.001,0.001,0.00075,0.672205199761,0.672207275246,2.075485e-06
0.001,0.00075,0.001,0.001,0.001,0.672816065438,0.672819507887,3.44245e-06
0.001,0.001,0.0005,0.0005,0.0005,0.941113199011,0.941114091917,8.92906e-07
0.001,0.001,0.0005,0.0005,0.00075,0.941222363653,0.941223501522,1.137869e-06
0.001,0.001,0.0005,0.0005,0.001,0.941371400127,0.94137275508,1.354954e-06
0.001,0.001,0.0005,0.00075,0.0005,0.940187503041,0.940188234062,7.31021e-07
0.001,0.001,0.0005,0.00075,0.00075,0.940298060076,0.940298993065,9.3299e-07
0.001,0.001,0.0005,0.00075,0.001,0.940448567386,0.940450109177,1.541791e-06
0.001,0.001,0.0005,0.001,0.0005,0.937948526401,0.937949289579,7.63178e-07
0.001,0.001,0.0005,0.001,0.00075,0.938062224004,0.938063230904,1.0069e-06
0.001,0.001,0.0005,0.001,0.001,0.938217176028,0.938218684742,1.508714e-06
0.001,0.001,0.00075,0.0005,0.0005,0.941113335969,0.941114160199,8.2423e-07
0.001,0.001,0.00075,0.0005,0.00075,0.941222245454,0.94122357357,1.328116e-06
0.001,0.001,0.00075,0.0005,0.001,0.94137116994,0.941372827355,1.657415e-06
0.001,0.001,0.00075,0.00075,0.0005,0.940187673984,0.94018854877,8.74786e-07
0.001,0.001,0.00075,0.00075,0.00075,0.9402981276,0.940299306187,1.178587e-06
0.001,0.001,0.00075,0.00075,0.001,0.94044860479,0.940450410002,1.805213e-06
0.001,0.001,0.00075,0.001,0.0005,0.937949246933,0.937950117365,8.70432e-07
0.001,0.001,0.00075,0.001,0.00075,0.938062875522,0.938064054401,1.178879e-06
0.001,0.001,0.00075,0.001,0.001,0.938217955963,0.938219494084,1.538121e-06
0.001,0.001,0.001,0.0005,0.0005,0.941113259482,0.94111425374,9.94258e-07
0.001,0.001,0.001,0.0005,0.00075,0.941222098989,0.941223675195,1.576206e-06
0.001,0.001,0.001,0.0005,0.001,0.941371014173,0.941372908291,1.894118e-06
0.001,0.001,0.001,0.00075,0.0005,0.94018795917,0.940188930188,9.71017e-07
0.001,0.001,0.001,0.00075,0.00075,0.940298299425,0.940299682193,1.382768e-06
0.001,0.001,0.001,0.00075,0.001,0.94044868115,0.940450782281,2.101131e-06
0.001,0.001,0.001,0.001,0.0005,0.937950315036,0.937951125503,8.10467e-07
0.001,0.001,0.001,0.001,0.00075,0.938063603771,0.938065076624,1.472853e-06
0.001,0.001,0.001,0.001,0.001,0.938218693224,0.938220492143,1.798919e-06
